"","feature","enrich_group","ef_lda","pvalue","padj"
"marker122","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_s__","CRC",2.88307362121152,0.0190164736723008,0.0190164736723008
"marker123","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Hungatella|s__Hungatella_s__","CRC",2.86476832347611,0.0129726229990436,0.0129726229990436
"marker124","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella","CRC",2.71191065167321,0.00353120554949991,0.00353120554949991
"marker125","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family_XIII|g__S5-A14a|s__S5-A14a_s__","CRC",2.69214041469732,0.0190164736723008,0.0190164736723008
"marker126","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Family_XIII|g__S5-A14a","CRC",2.68266016279046,0.0190164736723008,0.0190164736723008
"marker127","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_s__","CRC",2.66967843557118,0.0190164736723008,0.0190164736723008
"marker128","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonellaceae_g__","CRC",2.5127471457974,0.00353120554949991,0.00353120554949991
"marker129","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonellaceae_g__|s__Veillonellaceae_g___s__","CRC",2.50752105833304,0.00353120554949991,0.00353120554949991
"marker130","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia","CRC",2.50144897279209,0.0186471858708852,0.0186471858708852
"marker131","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_s__","CRC",2.49614714516449,0.0186471858708852,0.0186471858708852
"marker132","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_s__","CRC",2.29094992991765,0.0190164736723008,0.0190164736723008
"marker133","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella_6","CRC",2.07937163417655,0.0190164736723008,0.0190164736723008
